COURSE PREFIX,COURSE NUMBER,NAME,CREDITS,DESCRIPTION,PREREQUISITE,RESTRICTION,FORMERLY NAMED,RECOMMENDED,CREDIT ONLY GRANTED FOR,REPEATABLE TO,CROSS-LISTED,COREQUISITE
CMSC,CMSC131,Object-Oriented Programming I,4,Introduction to programming and computer science. Emphasizes understanding and implementation of applications using object-oriented techniques. Develops skills such as program design and testing as well as implementation of programs using a graphical IDE. Programming done in Java.,,,,,"CMSC131, CMSC133 or CMSC141",,,MATH140
CMSC,CMSC132,Object-Oriented Programming II,4,"Introduction to use of computers to solve problems using software engineering principles. Design, build, test, and debug medium -size software systems and learn to use relevant tools. Use object-oriented methods to create effective and efficient problem solutions. Use and implement application programming interfaces (APIs). Programming done in Java.",Minimum grade of C- in CMSC131; or must have earned a score of 5 on the A Java AP exam; or must have earned a satisfactory score on the departmental placement exam; and minimum grade of C- in MATH140,,,,CMSC132 or CMSC142,,,
CMSC,CMSC198,Special Topics in Computer Science for Non-Majors,1-4,A course designed to allow non-computer science majors and non-computer engineering majors to pursue a specialized topic or project.,,Must not be in Computer Science program,,,,6 credits if content differs,,
CMSC,CMSC216,Introduction to Computer Systems,4,"Introduction to the interaction between user programs and the operating system/hardware. Major topics include C programming, introductory systems programming, and assembly language. Other concepts covered include UNIX, machine data representation, thread management, optimization, and virtual memory. Programming is done in the Linux Environment.",Minimum grade of C- in CMSC132; and minimum grade of C- in MATH141,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission of CMSC - Computer Science department,,,,,,
CMSC,CMSC250,Discrete Structures,4,"Fundamental mathematical concepts related to computer science, including finite and infinite sets, relations, functions, and propositional logic. Introduction to other techniques, modeling and solving problems in computer science. Introduction to permutations, combinations, graphs, and trees with selected applications.",Minimum grade of C- in CMSC131; and minimum grade of C- in MATH141,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permissions of CMSC - Computer Science department,,,,,,
CMSC,CMSC298,Special Topics in Computer Science,1-4,A course designed to allow a lower level student to pursue a specialized topic or project.,,Permission of CMNS-Computer Science department,,,,6 credits if content differs,,
CMSC,CMSC320,Introduction to Data Science,3,"An introduction to the data science pipeline, i.e., the end-to-end process of going from unstructured, messy data to knowledge and actionable insights. Provides a broad overview of several topics including statistical data analysis, basic data mining and machine learning algorithms, large-scale data management, cloud computing, and information visualization.",Minimum grade of C- in CMSC216 and CMSC250,Permission of CMNS-Computer Science department,,,"CMSC320, DATA320 or STAT426",,,
CMSC,CMSC330,Organization of Programming Languages,3,"A study of programming languages, including their syntax, semantics, and implementation. Several different models of languages are discussed, including dynamic, scripting (e.g., Ruby, Python) functional (e.g., OCaml, Haskell, Scheme), and memory safe systems programming (e.g., Rust). Explores language features such as formal syntax, scoping and binding of variables, higher-order programming, typing, and type polymorphism. Introduces finite automata, context free grammar, parsing, lambda calculus, and basics of security attacks and software security.",Minimum grade of C- in CMSC250 and CMSC216,Must be in a major within the CMNS-Computer Science department; or must be in the Computer Science Minor program; or must be in Engineering: Computer program; and Permission of CMSC - Computer Science department,,,,,,
CMSC,CMSC335,Web Application Development with JavaScript,3,"Provides an introduction to modern ways of developing Web Applications/Services using JavaScript for both front-end and back-end. The course covers topics on fundamental JavaScript language constructs, server-side JavaScript, back-end data persistence, and client-side JavaScript to build Web Applications that interact with Web services and back-end databases.",Minimum grade of C- in CMSC216 and CMSC250,Permission of CMNS-Computer Science Department,,,CMSC389N or CMSC335,,,
CMSC,CMSC351,Algorithms,3,"A systematic study of the complexity of some elementary algorithms related to sorting, graphs and trees, and combinatorics. Algorithms are analyzed using mathematical techniques to solve recurrences and summations.",Minimum grade of C- in CMSC250 and CMSC216,Must be in a major within the CMNS-Computer Science department; or must be in Engineering: Computer program; or must be in the Computer Science Minor program; and Permission from the CMSC - Computer Science department,,,,,,
CMSC,CMSC388,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science.,,Permission of CMNS-Computer Science department,,,,6 credits if content differs,,
CMSC,CMSC389,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science; course may be used as electives for the undergraduate degree and minor.,,,,,,6 credits if content differs,,
CMSC,CMSC390,Honors Paper,3,Special study or research directed toward preparation of honors paper.,,Must be admitted to the Computer Science Honors Program,,,,,,
CMSC,CMSC395,Teaching Techniques for Computer Science,1,"This course will assure that teaching assistants become better skilled at applying effective teaching practices that improve the classroom environment while learning methods to implement mechanisms to improve diversity and inclusion. Legal and ethical aspects of the role will also be considered. Students in the class will be currently working as a teaching assistant and, therefore, be able to apply what they are learning immediately in their own context.",,Students must be hired as a teaching assistant in the Computer Science Department for the semester they are registered for the course; and permission of the Computer Science Department,,,,,,
CMSC,CMSC396,Computer Science Honors Seminar,1,"Overview of computer science research activities, techniques, and tools. Diverse research areas will be covered, including systems, networks, artificial intelligence, human-computer interaction, software engineering, graphics, vision, and theory.",Must have admission into Computer Science Departmental Honors Program,Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC398,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science.,,Permission of CMNS-Computer Science Department,,,,6 credits if content differs,,
CMSC,CMSC401,Algorithms for Geospatial Computing,3,"An introduction to fundamental geospatial objects and geometric algorithms for spatio-temporal data processing and analysis. Point data representation and analysis: spatial data models and data structures, algorithms for spatial queries, point clustering algorithms. Surface and scalar field modeling, such as terrains: raster and triangle-based models (TINs), algorithms for building and querying TINs. Algorithms for natural and urban terrain analysis: morphology computation and visibility analysis. Applications to processing and analysis of LiDAR (Light Detection And Ranging) data in the context of terrain reconstruction, urban modeling, forest management and bathymetry reconstruction for coastal data management. Road network computation and analysis: algorithms for route computation in road networks, and for road network reconstruction from GPS and satellite data.",GEOG276; or a minimum grade of C- in CMSC330 and CMSC351; or permission of instructor,,,,"CMSC498Q, CMSC401, CMSC788I, GEOG470, GEOG498I, GEOG770, or GEOG788I",,,
CMSC,CMSC411,Computer Systems Architecture,3,"Input/output processors and techniques. Intra-system communication, buses, caches. Addressing and memory hierarchies. Microprogramming, parallelism, and pipelining.","Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",Permission of CMNS-Computer Science department,,,ENEE446 or CMSC411,,,
CMSC,CMSC412,Operating Systems,4,"A hands-on introduction to operating systems, including topics in: multiprogramming, communication and synchronization, memory management, IO subsystems, and resource scheduling polices. The laboratory component consists of constructing a small kernel, including functions for device IO, multi-tasking, and memory management.","Minimum grade of C- in CMSC330 and CMSC351; and 1 course with a minimum grade of C- from (CMSC414, CMSC417, CMSC420, CMSC430, CMSC433, CMSC435, ENEE440, ENEE457)",Permission of CMNS-Computer Science department; or must be in one of the following programs (Computer Science (Master's); Computer Science (Doctoral)),,,CMSC412 or ENEE447,,,
CMSC,CMSC414,Computer and Network Security,3,"An introduction to the topic of security in the context of computer systems and networks. Identify, analyze, and solve network-related security problems in computer systems. Fundamentals of number theory, authentication, and encryption technologies, as well as the practical problems that have to be solved in order to make those technologies workable in a networked environment, particularly in the wide-area Internet environment.","Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",Permission of CMNS-Computer Science department,,,"CMSC414, ENEE459C, or ENEE457",,,
CMSC,CMSC416,Introduction to Parallel Computing,3,"Introduction to parallel computing. Topics include programming for shared memory and distributed memory parallel architectures, and fundamental issues in design, development, and performance analysis of parallel programs.",Minimum grade of C- in CMSC330 and CMSC351; or permission of instructor,Permission of CMNS-Computer Science department,,,"CMSC416, CMSC498X, CMSC616, or CMSC818X",,,
CMSC,CMSC417,Computer Networks,3,"Computer networks and architectures. The OSI model including discussion and examples of various network layers. A general introduction to existing network protocols. Communication protocol specification, analysis, and testing.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC420,Advanced Data Structures,3,"Description, properties, and storage allocation functions of data structures including balanced binary trees, B-Trees, hash tables, skiplists, tries, KD-Trees and Quadtrees. Algorithms for manipulating structures. Applications from areas such as String Processing, Computer Graphics, Information Retrieval, Computer Networks, Computer Vision, and Operating Systems.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC421,Introduction to Artificial Intelligence,3,"Introduces a range of ideas and methods in AI, varying semester to semester but chosen largely from: automated heuristic search, planning, games, knowledge representation, logical and statistical inference, learning, natural language processing, vision, robotics, cognitive modeling, and intelligent agents. Programming projects will help students obtain a hands-on feel for various topics.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC422,Introduction to Machine Learning,3,Machine Learning studies representations and algorithms that allow machines to improve their performance on a task from experience. This is a broad overview of existing methods for machine learning and an introduction to adaptive systems in general. Emphasis is given to practical aspects of machine learning and data mining.,"Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and permission of CMNS-Computer Science department",,,,,,,
CMSC,CMSC423,"Bioinformatic Algorithms, Databases, and Tools",3,"An introduction to the main algorithms, databases, and tools used in bioinformatics. Topics may include assembly and analysis of genome sequences, reconstructing evolutionary histories, predicting protein structure, and clustering of biological data. Use of scripting languages to perform analysis tasks on biological data. No prior knowledge of biology is assumed.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC424,Database Design,3,"Students are introduced to database systems and motivates the database approach as a mechanism for modeling the real world. An in-depth coverage of the relational model, logical database design, query languages, and other database concepts including query optimization, concurrency control; transaction management, and log based crash recovery. Distributed and Web database architectures are also discussed.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC425,Game Programming,3,"An introduction to the principles and practice of computer game programming and design. This includes an introduction to game hardware and systems, the principles of game design, object and terrain modeling, game physics, artificial intelligence for games, networking for games, rendering and animation, and aural rendering. Course topics are reinforced through the design and implementation of a working computer game.",Minimum grade of C- in CMSC330 and CMSC351,Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC426,Computer Vision,3,"An introduction to basic concepts and techniques in computervision. This includes low-level operations such as image filtering and edge detection, 3D reconstruction of scenes using stereo and structure from motion, and object detection, recognition and classification.","Minimum grade of C- in CMSC330 and CMSC351 and 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program; or permission of the instructor",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC427,Computer Graphics,3,"An introduction to 3D computer graphics, focusing on the underlying building blocks and algorithms for applications such as 3D computer games, and augmented and virtual reality (AR/VR). Covers the basics of 3D image generation and 3D modeling, with an emphasis on interactive applications. Discusses the representation of 3D geometry, 3D transformations, projections, rasterization, basics of color spaces, texturing and lighting models, as well as programming of modern Graphics Processing Units (GPUs). Includes programming projects where students build their own 3D rendering engine step-by-step.","Minimum grade of C- in CMSC330 and CMSC351; 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461)",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC430,Introduction to Compilers,3,"Topics include lexical analysis, parsing, intermediate representations, program analysis, optimization, and code generation.","Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC433,Programming Language Technologies and Paradigms,3,"Programming language technologies (e.g., object-oriented programming), their implementations and use in software design and implementation.","Minimum grade of C- in CMSC330; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC434,Introduction to Human-Computer Interaction,3,"Assess usability by quantitative and qualitative methods. Conduct task analyses, usability tests, expert reviews, and continuing assessments of working products by interviews, surveys, and logging. Apply design processes and guidelines to develop professional quality user interfaces. Build low-fidelity paper mockups, and a high-fidelity prototype using contemporary tools such as graphic editors and a graphical programming environment (eg: Visual Basic, Java).","Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC435,Software Engineering,3,"State-of-the-art techniques in software design and development. Laboratory experience in applying the techniques covered. Structured design, structured programming, top-down design and development, segmentation and modularization techniques, iterative enhancement, design and code inspection techniques, correctness, and chief-programmer teams. The development of a large software project.","1 course with a minimum grade of C- from (CMSC412, CMSC417, CMSC420, CMSC430, CMSC433, ENEE447); and permission of CMNS-Computer Science department",,,,,,,
CMSC,CMSC436,Programming Handheld Systems,3,"Fundamental principles and concepts that underlie the programming of handheld systems, such as mobile phones, personal digital assistants, and tablet computers. Particular emphasis will be placed on concepts such as limited display size, power, memory and CPU speed; and new input modalities, where handheld systems differ substantially from non-handheld systems, and thus require special programming tools and approaches. Students will apply these concepts and principles in the context of an existing handset programming platform.","Minimum grade of C- in CMSC330 and CMSC351; or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC451,Design and Analysis of Computer Algorithms,3,"Fundamental techniques for designing efficient computer algorithms, proving their correctness, and analyzing their complexity. General topics include graph algorithms, basic algorithm design paradigms (such as greedy algorithms, divide-and-conquer, and dynamic programming), network flows, NP-completeness, and other selected topics in algorithms.","Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC452,Elementary Theory of Computation,3,"Techniques are developed to determine the difficulty of a problem relative to a model of computation. Topics include Finite Automata, P, NP, decidability, undecidability, and communication complexity.","Minimum grade of C- in CMSC351; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,,,,
CMSC,CMSC454,Algorithms for Data Science,3,"Fundamental methods for processing a high volume of data. Methods include stream processing, locally sensitive hashing, web search methods, page rank computation, network and link analysis, dynamic graph algorithms as well as methods to handle high dimensional data/dimensionality reduction.",Minimum grade of C- in CMSC330 and CMSC351,Permission of CMSC-Computer Science department,,,,,,
CMSC,CMSC456,Cryptography,3,"The theory, application, and implementation of mathematical techniques used to secure modern communications. Topics include symmetric and public-key encryption, message integrity, hash functions, block-cipher design and analysis, number theory, and digital signatures.","(CMSC106, CMSC131, or ENEE150; or equivalent programming experience); and (2 courses from (CMSC330, CMSC351, ENEE324, or ENEE380); or any one of these courses and a 400-level MATH course, or two 400-level MATH courses); and Permission of CMNS-Mathematics department or permission of instructor ",,,,"MATH456, CMSC456 or ENEE456",,,
CMSC,CMSC457,Introduction to Quantum Computing,3,"An introduction to the concept of a quantum computer, including algorithms that outperform classical computation and methods for performing quantum computation reliably in the presence of noise. As this is a multidisciplinary subject, the course will cover basic concepts in theoretical computer science and physics in addition to introducing core quantum computing topics.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461, PHYS274); and 1 course with a minimum grade of C- from (CMSC351, PHYS373)",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC460,Computational Methods,3,"Basic computational methods for interpolation, least squares, approximation, numerical quadrature, numerical solution of polynomial and transcendental equations, systems of linear equations and initial value problems for ordinary differential equations. Emphasis on methods and their computational properties rather than their analytic aspects. Intended primarily for students in the physical and engineering sciences.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246",,,,"AMSC460, AMSC466, CMSC460, or CMSC466",,,
CMSC,CMSC466,Introduction to Numerical Analysis I,3,"Floating point computations, direct methods for linear systems, interpolation, solution of nonlinear equations.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410",,,,"AMSC460, CMSC460, AMSC466, or CMSC466",,,
CMSC,CMSC470,Introduction to Natural Language Processing,3,"Introduction to fundamental techniques for automatically processing and generating natural language with computers. Machine learning techniques, models, and algorithms that enable computers to deal with the ambiguity and implicit structure of natural language. Application of these techniques in a series of assignments designed to address a core application such as question answering or machine translation.","Minimum grade of C- in CMSC320, CMSC330, and CMSC351; and 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461)",Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC471,Introduction to Data Visualization,3,"Datasets are becoming increasingly large and complex, requiring intuitive ways to explore and interpret them quickly and efficiently. In this case, a picture is worth a thousand words: visualizations enable us to transform data into images that are easier to understand and reason about, compared to raw numbers and raw text. Visualizations are critical tools in externalizing and organizing our knowledge and insights, whether to explore collected datasets to improve our understanding of the physical world, to assess and debug analysis/experimental workflows, or to present new and interesting results to diverse audiences. In this course we will study techniques and algorithms for creating effective visualizations based on principles from graphic design, perceptual psychology, and cognitive science. Students will learn how to design and build interactive visualizations for the web, using the D3.js (Data-Driven Documents) framework.",Minimum grade of C- in CMSC330 and CMSC351; and permission of CMNS-Computer Science Department,Permission of the CMNS-Computer Science Department,,,CMSC471 or CMSC498O,,,
CMSC,CMSC472,Introduction to Deep Learning,3,"An introduction to deep learning, a machine learning technique, as well as its applications to a variety of domains. Provides a broad overview of deep learning concepts including neural networks, convolutional neural networks, recurrent neural networks, generative models, and deep reinforcement learning, and an intuitive introduction to basics of machine learning such as simple models, learning paradigms, optimization, overfitting, importance of data, and training caveats.","Minimum grade of C- or higher in CMSC330 and CMSC351; and 1 course with a minimum grade of C- or higher from (MATH240, MATH461)","Permission of the CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's) program",,,CMSC498L or CMSC472,,,
CMSC,CMSC473,Capstone in Machine Learning,3,"Semester-long project course in which each student will identify and carry out a project related to machine learning, with the goal of publishing a research paper or software tool.",Minimum grade of C- or higher in CMSC421 or CMSC422,Permission of instructor and Permission of CMSC - Computer Science department,,Background or exposure to machine learning topics is strongly encouraged,CMSC498P or CMSC473,,,
CMSC,CMSC474,Introduction to Computational Game Theory,3,"Game theory deals with interactions among agents (either human or computerized) whose objectives and preferences may differ from the objectives and preferences of the other agents. It will also provide a comprehensive introduction to game theory, concentrating on its computational aspects.","Minimum grade of C- in CMSC351 and CMSC330; and permission of CMNS-Computer Science department. Or must be in the (Computer Science (Doctoral), Computer Science (Master's)) program",,,,"CMSC474, ECON414, GVPT390 or GVPT399A",,,
CMSC,CMSC475,Combinatorics and Graph Theory,3,"General enumeration methods, difference equations, generating functions. Elements of graph theory, matrix representations of graphs, applications of graph theory to transport networks, matching theory and graphical algorithms.","1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340). And permission of CMNS-Computer Science department; or permission of CMNS-Mathematics department.",,,,,,MATH475,
CMSC,CMSC477,Robotics Perception and Planning,3,"A hands-on introduction to perception and planning for robotics, including rigid body transformations and rotations, dynamics and control of mobile robots/drones, graph based and sampling based planning algorithms, Bayseian and Kalman filtering, camera models and calibration, projective geometry, visual features, optical flow, pose estimation, RANSAC and Hough transform, structure from motion, visual odometry, machine learning basics, visual recognition and learning.","1 course from (MATH240, MATH341, MATH461); and (ENEE467 or CMSC420)",Must be in the Robotics and Autonomous Systems minor; and permission of Computer Science department,,,,,,
CMSC,CMSC488,Special Topics in Computer Science,1-3,Seminar courses that allow students to pursue new and emerging areas of Computer Science.,,Permission of CMNS-Computer Science department,,,,6 credits if content differs,,
CMSC,CMSC498,Selected Topics in Computer Science,1-3,"An individualized course designed to allow a student or students to pursue a selected topic not taught as a part of the regular course offerings under the supervision of a Computer Science faculty member. In addition, courses dealing with topics of special interest and/or new emerging areas of computer science will be offered with this number. Selected topics courses will be structured very much like a regular course with homework, project and exams. Credit according to work completed",,Permission of CMNS-Computer Science department,,,,,,
CMSC,CMSC499,Independent Undergraduate Research,1-3,"Students are provided with an opportunity to participate in a computer science research project under the guidance of a faculty advisor. Format varies. Students and supervising faculty member will agree to a research plan which must be approved by the department. As part of each research plan, students should produce a final paper delineating their contribution to the field.",,Must be in one of the following programs (Computer Science; Engineering: Computer) ; and permission of CMNS-Computer Science department,,,,,,
MATH,MATH140,Calculus I,4,"Introduction to calculus, including functions, limits, continuity, derivatives and applications of the derivative, sketching of graphs of functions, definite and indefinite integrals, and calculation of area. The course is especially recommended for science, engineering and mathematics majors.",Minimum grade of C- in MATH115,,,,,,,
MATH,MATH141,Calculus II,4,"Continuation of MATH140, including techniques of integration, improper integrals, applications of integration (such as volumes, work, arc length, moments), inverse functions, exponential and logarithmic functions, sequences and series.",Minimum grade of C- in MATH140,,,,,,,
MATH,MATH240,Introduction to Linear Algebra,4,"Basic concepts of linear algebra: vector spaces, applications to line and plane geometry, linear equations and matrices, similar matrices, linear transformations, eigenvalues, determinants and quadratic forms.","1 course with a minimum grade of C- from (MATH131, MATH141)",,,,"MATH240, MATH341, or MATH461",,,
MATH,MATH241,Calculus III,4,"Introduction to multivariable calculus, including vectors and vector-valued functions, partial derivatives and applications of partial derivatives (such as tangent planes and Lagrange multipliers), multiple integrals, volume, surface area, and the classical theorems of Green, Stokes and Gauss.",Minimum grade of C- in MATH141,,,,MATH241 or MATH340,,,
MATH,MATH461,Linear Algebra for Scientists and Engineers,3,"Basic concepts of linear algebra. This course is similar to MATH240, but with more extensive coverage of the topics needed in applied linear algebra: change of basis, complex eigenvalues, diagonalization, the Jordan canonical form.",Minimum grade of C- in MATH141; and must have completed a MATH or STAT course with a prerequisite of MATH141,,,,"MATH240, MATH341, or MATH461",,,
STAT,STAT400,Applied Probability and Statistics I,3,"Random variables, standard distributions, moments, law of large numbers and central limit theorem. Sampling methods, estimation of parameters, testing of hypotheses.","1 course with a minimum grade of C- from (MATH131, MATH141); or students who have taken courses with comparable content may contact the department",,,,"DATA400, ENEE324, or STAT400",,,
STAT,STAT410,Introduction to Probability Theory,3,Probability and its properties. Random variables and distribution functions in one and several dimensions. Moments. Characteristic functions. Limit theorems.,"1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241)",,,,STAT410 or SURV410,,,